0            6.951592060027e-310    1.000000000000e-10    9.000000000000e+02    1.449650124871e-01    5.752535345262e-01    0.000000000000e+00    0.000000000000e+00    0.000000000000e+00    0.000000000000e+00    0.000000000000e+00    0.000000000000e+00    2.797814529867e-01
10            1.023000000000e-07    1.024000000000e-07    8.999999999963e+02    1.449650124870e-01    5.752535345246e-01    2.054268231500e-15    1.767416295299e-15    6.315702358439e-16    5.012914406097e-14    1.694756276086e-12    9.482341874742e-18    2.797814529867e-01
20            1.048575000000e-04    1.048576000000e-04    9.000000016783e+02    1.449650123003e-01    5.752535299863e-01    1.938148951591e-12    5.234952521568e-13    4.823839762450e-10    2.652941138908e-12    4.215728834632e-09    2.349770123135e-11    2.797814529867e-01
30            7.677721500000e-03    1.000000000000e-03    9.000006320813e+02    1.449649786059e-01    5.752528780344e-01    8.291897522896e-12    2.768470132906e-12    1.027789376294e-07    1.134920887233e-11    4.335382690951e-07    1.540333796146e-07    2.797814529867e-01
40            1.767772150000e-02    1.000000000000e-03    9.000047098121e+02    1.449648066763e-01    5.752500597233e-01    3.188534537752e-11    1.264311141723e-11    7.401348861582e-07    4.364513607647e-11    1.786483674851e-06    1.153906980823e-06    2.797814529867e-01
50            2.767772150000e-02    1.000000000000e-03    9.000196973032e+02    1.449642347855e-01    5.752415009489e-01    9.684414551462e-11    4.281821862898e-11    3.125276736747e-06    1.325912035375e-10    5.088937960844e-06    4.596791959203e-06    2.797814529867e-01
60            3.767772150000e-02    1.000000000000e-03    9.000637994813e+02    1.449626991124e-01    5.752207287211e-01    2.350504216012e-10    1.171182261287e-10    1.024775839177e-05    3.219235169525e-10    1.071058862123e-05    1.416015860986e-05    2.797814529867e-01
70            4.767772150000e-02    1.000000000000e-03    9.001673076491e+02    1.449593609844e-01    5.751798255517e-01    4.672066288865e-10    2.612753124307e-10    2.754101567468e-05    6.400750445845e-10    1.747796574115e-05    3.434012719934e-05    2.797814529867e-01
80            5.767772150000e-02    1.000000000000e-03    9.003698402879e+02    1.449531539422e-01    5.751091096808e-01    8.183180984081e-10    5.013774689303e-10    6.285370878767e-05    1.121204450816e-09    2.482347957717e-05    6.860376101649e-05    2.797814529867e-01
90            6.767772150000e-02    1.000000000000e-03    9.007245193204e+02    1.449426450058e-01    5.749954007079e-01    1.332026089512e-09    8.751911608912e-10    1.270392479838e-04    1.824582748617e-09    3.290114471156e-05    1.205568751501e-04    2.797814529867e-01
100           7.767772150000e-02    1.000000000000e-03    9.013072908720e+02    1.449257909033e-01    5.748199936494e-01    2.080356444104e-09    1.444521247521e-09    2.357070488777e-04    2.847323260679e-09    4.199260306495e-05    1.950564364747e-04    2.797814529867e-01
110           8.767772150000e-02    1.000000000000e-03    9.022334246648e+02    1.448995010901e-01    5.745547888097e-01    3.191893290639e-09    2.319407660663e-09    4.126876359831e-04    4.361375496146e-09    5.253163998756e-05    2.990279648179e-04    2.797814529867e-01
120           9.767772150000e-02    1.000000000000e-03    9.036931543708e+02    1.448586926262e-01    5.741538868737e-01    4.924843103886e-09    3.720151759490e-09    6.975607607192e-04    6.708968742288e-09    6.529033816789e-05    4.431010605614e-04    2.797814529867e-01
130           1.076777215000e-01    1.000000000000e-03    9.060422127460e+02    1.447938943201e-01    5.735323818337e-01    7.892830844586e-09    6.170100244428e-09    1.164850007361e-03    1.069545035261e-08    8.185156626048e-05    6.455445275498e-04    2.797814529867e-01
140           1.176777215000e-01    1.000000000000e-03    9.100982283529e+02    1.446834235272e-01    5.724975079523e-01    1.403299562904e-08    1.132881040496e-08    1.987209566681e-03    1.883385203335e-08    1.062822267812e-04    9.440795446836e-04    2.797814529867e-01
150           1.274826844812e-01    7.580827775782e-04    9.185219652851e+02    1.444571591609e-01    5.704342068545e-01    3.437546712816e-08    2.881536136845e-08    3.733808688387e-03    4.520340152853e-08    1.545185571048e-04    1.438745358178e-03    2.797814529867e-01
160           1.322373916975e-01    2.262985276860e-04    9.298073942793e+02    1.441579791181e-01    5.677792244883e-01    1.101530648306e-07    9.757139257269e-08    6.133924101851e-03    1.411015314188e-07    2.352134883751e-04    1.911856990621e-03    2.797814529867e-01
170           1.332861213479e-01    7.743006924933e-06    9.439893750100e+02    1.437782752695e-01    5.645564934891e-01    3.040192058313e-06    3.522469820283e-06    9.347224277586e-03    3.876541629300e-06    4.535250012714e-04    2.072589772331e-03    2.797814529867e-01
180           1.333194527096e-01    1.382047011939e-06    9.559058602834e+02    1.434368628149e-01    5.619838878413e-01    1.466178470207e-05    1.738467992351e-05    1.232564339115e-02    1.841473056387e-05    4.899863384163e-04    1.931705432337e-03    2.797814529867e-01
190           1.333295117310e-01    6.966064356690e-07    9.666155578171e+02    1.431155757639e-01    5.596308440410e-01    2.998350756065e-05    3.410596520728e-05    1.510163412116e-02    3.685395769860e-05    4.817440608718e-04    1.787805595885e-03    2.797814529867e-01
200           1.333351742146e-01    4.425991213759e-07    9.770796463003e+02    1.427882446605e-01    5.572581373751e-01    4.931875452725e-05    5.367809849014e-05    1.789346063578e-02    5.934721111935e-05    4.696349184776e-04    1.646725359221e-03    2.797814529867e-01
210           1.333389552397e-01    3.128407293677e-07    9.874327322665e+02    1.424503759690e-01    5.548288060651e-01    7.311668857064e-05    7.630129673865e-05    2.073657419341e-02    8.620573917914e-05    4.569841144103e-04    1.510182946882e-03    2.797814529867e-01
220           1.333417057758e-01    2.353736573189e-07    9.977213488885e+02    1.420997296573e-01    5.523262504460e-01    1.018622214696e-04    1.022099396717e-04    2.364723066205e-02    1.177645713709e-04    4.444387460688e-04    1.379060769335e-03    2.797814529867e-01
230           1.333438148775e-01    1.845913676078e-07    1.007967360902e+03    1.417346688656e-01    5.497391957479e-01    1.360650191870e-04    1.316726089370e-04    2.663645201654e-02    1.543714988276e-04    4.321895524232e-04    1.253931703868e-03    2.797814529867e-01
240           1.333454915259e-01    1.491404715206e-07    1.018182909752e+03    1.413537833074e-01    5.470583704827e-01    1.762555493045e-04    1.649921342325e-04    2.971325274113e-02    1.963837436434e-04    4.203017064879e-04    1.135207348365e-03    2.797814529867e-01
250           1.333468601083e-01    1.232438179269e-07    1.028375465771e+03    1.409557615898e-01    5.442753970464e-01    2.229820725003e-04    2.025052972888e-04    3.288575168066e-02    2.441658175650e-04    4.087957104166e-04    1.023187798598e-03    2.797814529867e-01
260           1.333480001671e-01    1.036637256091e-07    1.038549984555e+03    1.405393391858e-01    5.413823381888e-01    2.768075309000e-04    2.445822532096e-04    3.616163784769e-02    2.980875219254e-04    3.976736726245e-04    9.180808123668e-04    2.797814529867e-01
270           1.333489653398e-01    8.845259810062e-08    1.048709936458e+03    1.401032796332e-01    5.383715202979e-01    3.383056994686e-04    2.916252451742e-04    3.954835393418e-02    3.585214135422e-04    3.869294189442e-04    8.200113708628e-04    2.797814529867e-01
280           1.333497933121e-01    7.637336619680e-08    1.058857853006e+03    1.396463688189e-01    5.352354658353e-01    4.080568493801e-04    3.440668386845e-04    4.305316863130e-02    4.258400772912e-04    3.765528309418e-04    7.290271314189e-04    2.797814529867e-01
290           1.333505114463e-01    6.660544608259e-08    1.068995641689e+03    1.391674156907e-01    5.319668784518e-01    4.866430105615e-04    4.023678064661e-04    4.668319430304e-02    5.004132500549e-04    3.665318344469e-04    6.451026662467e-04    2.797814529867e-01
300           1.333511401515e-01    5.858498724548e-08    1.079124776502e+03    1.386652566119e-01    5.285586573267e-01    5.746428132915e-04    4.670143809469e-04    5.044537387633e-02    5.826048072180e-04    3.568533731229e-04    5.681438238146e-04    2.797814529867e-01
310           1.333516949978e-01    5.191297372374e-08    1.089246420354e+03    1.381387615898e-01    5.250039265300e-01    6.726260683118e-04    5.385151869668e-04    5.434645125594e-02    6.727697122664e-04    3.475038645142e-04    4.979928055213e-04    2.797814529867e-01
320           1.333521880930e-01    4.629992190340e-08    1.099361506166e+03    1.375868415791e-01    5.212960731403e-01    7.811481331393e-04    6.173976580326e-04    5.839293192513e-02    7.712509714291e-04    3.384694367126e-04    4.344341694336e-04    2.797814529867e-01
330           1.333526290102e-01    4.153127849595e-08    1.109470792579e+03    1.370084562625e-01    5.174287896272e-01    9.007441712679e-04    7.042040608445e-04    6.259103843734e-02    8.783766549898e-04    3.297360408111e-04    3.772017582595e-04    2.797814529867e-01
340           1.333530254281e-01    3.744505034935e-08    1.119574903203e+03    1.364026219497e-01    5.133961179281e-01    1.031923384787e-03    7.994871405827e-04    6.694666366113e-02    9.944570300314e-04    3.212895087107e-04    3.259864101667e-04    2.797814529867e-01
350           1.333533835849e-01    3.391689687646e-08    1.129674355779e+03    1.357684189999e-01    5.091924914452e-01    1.175163431415e-03    9.038054923556e-04    7.146532584638e-02    1.119781947689e-03    3.131156182852e-04    2.804442320881e-04    2.797814529867e-01
360           1.333537086065e-01    3.085000177349e-08    1.139769582913e+03    1.351049988714e-01    5.048127755314e-01    1.330904987548e-03    1.017718833919e-03    7.615212512297e-02    1.254618434907e-03    3.052000757891e-04    2.402051553059e-04    2.797814529867e-01
370           1.333540047471e-01    2.816799420313e-08    1.149860948256e+03    1.344115906007e-01    5.002523052802e-01    1.499546559108e-03    1.141782807763e-03    8.101170311970e-02    1.399208532316e-03    2.975286189620e-04    2.048814944597e-04    2.797814529867e-01
380           1.333542755703e-01    2.580991621415e-08    1.159948759208e+03    1.336875062943e-01    4.955069179675e-01    1.681439727473e-03    1.276544070577e-03    8.604820820355e-02    1.553767492000e-03    2.900870415552e-04    1.740762163622e-04    2.797814529867e-01
390           1.333545240856e-01    2.372659671042e-08    1.170033276533e+03    1.329321457956e-01    4.905729813535e-01    1.876884788488e-03    1.422535209626e-03    9.126526564494e-02    1.718482289927e-03    2.828612616092e-04    1.473906695641e-04    2.797814529867e-01
400           1.333547528537e-01    2.187798397828e-08    1.180114722258e+03    1.321450004241e-01    4.854474170771e-01    2.086126850931e-03    1.580269810659e-03    9.666595346117e-02    1.893510468666e-03    2.758373660170e-04    1.244315546376e-04    2.797814529867e-01
410           1.333549640684e-01    2.023116240592e-08    1.190193286021e+03    1.313256557737e-01    4.801277190738e-01    2.309352431048e-03    1.750237641639e-03    1.022527840893e-01    2.078979312211e-03    2.690017091264e-04    1.048169824652e-04    2.797814529867e-01
420           1.333551596207e-01    1.875886013305e-08    1.200269130148e+03    1.304737936587e-01    4.746119675144e-01    2.546686524268e-03    1.932900066535e-03    1.080276914496e-01    2.274985319902e-03    2.623409659683e-04    8.818151395861e-05    2.797814529867e-01
430           1.333553411500e-01    1.743830798619e-08    1.210342394036e+03    1.295891931926e-01    4.688988380879e-01    2.798190174951e-03    2.128685715606e-03    1.139920235230e-01    2.481593976488e-03    2.558422048687e-04    7.418013785437e-05    2.797814529867e-01
440           1.333555100850e-01    1.625036407530e-08    1.220413197622e+03    1.286717311473e-01    4.629876074565e-01    3.063858501768e-03    2.337986429615e-03    1.201465395672e-01    2.698839769899e-03    2.494929451426e-04    6.249119583413e-05    2.797814529867e-01
450           1.333556676767e-01    1.517883207196e-08    1.230481644310e+03    1.277213816218e-01    4.568781549246e-01    3.343619172399e-03    2.561153466231e-03    1.264914117920e-01    2.926726441552e-03    2.432812868499e-04    5.281830775998e-05    2.797814529867e-01
460           1.333558150254e-01    1.420992445257e-08    1.240547823558e+03    1.267382152364e-01    4.505709615624e-01    3.637331248485e-03    2.798494234705e-03    1.330262301819e-01    3.165227390417e-03    2.371957749448e-04    4.489138403436e-05    2.797814529867e-01
470           1.333559531028e-01    1.333184072110e-08    1.250611812852e+03    1.257223976083e-01    4.440671051848e-01    3.944784450782e-03    3.050269092187e-03    1.397500118442e-01    3.414286320114e-03    2.312256711177e-04    3.846684178668e-05    2.797814529867e-01
480           1.333560827701e-01    1.253443048187e-08    1.260673679374e+03    1.246741877913e-01    4.373682551083e-01    4.265698698762e-03    3.316688658797e-03    1.466612108429e-01    3.673817887112e-03    2.253608774913e-04    3.332714868836e-05    2.797814529867e-01
490           1.333562047936e-01    1.180892047379e-08    1.270733481575e+03    1.235939361976e-01    4.304766638235e-01    4.599723949228e-03    3.597911537649e-03    1.537577312474e-01    3.943708513473e-03    2.195919169112e-04    2.927982753965e-05    2.797814529867e-01
500           1.333563198571e-01    1.114769603295e-08    1.280791270303e+03    1.224820823766e-01    4.233951576021e-01    4.946440289359e-03    3.894042246996e-03    1.610369411683e-01    4.223817240319e-03    2.139100381960e-04    2.615605136667e-05    2.797814529867e-01
510           1.333564285730e-01    1.054412174813e-08    1.290847089850e+03    1.213391526551e-01    4.161271261073e-01    5.305358236763e-03    4.205129575808e-03    1.684956876968e-01    4.513976614770e-03    2.083071772402e-04    2.380894942182e-05    2.797814529867e-01
520           1.333565314908e-01    9.992395274963e-09    1.300900978740e+03    1.201657577203e-01    4.086765113058e-01    5.675919203991e-03    4.531165311595e-03    1.761303121846e-01    4.813993583046e-03    2.027759718827e-04    2.211173207573e-05    2.797814529867e-01
530           1.333566291058e-01    9.487425563778e-09    1.310952970479e+03    1.189625901677e-01    4.010477958246e-01    6.057496142745e-03    4.872083255274e-03    1.839366657581e-01    5.123650381654e-03    1.973097566765e-04    2.095572657609e-05    2.797814529867e-01
540           1.333567218647e-01    9.024732917840e-09    1.321003094080e+03    1.177304220960e-01    3.932459911348e-01    6.449394308211e-03    5.227758621659e-03    1.919101244840e-01    5.442705397672e-03    1.919025704911e-04    2.024840040603e-05    2.797814529867e-01
550           1.333568101723e-01    8.600365433076e-09    1.331051374486e+03    1.164701028315e-01    3.852766261324e-01    6.850852086328e-03    5.598007750544e-03    2.000456037157e-01    5.770893972777e-03    1.865490917681e-04    1.991143227956e-05    2.797814529867e-01
